dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
ada.csv,14.5,17893.0,4562.0,103.0,0.4595,0.4588,0.4681,0.4686,6733363.3204,5866695.8752,36.7333,14.4667,4.0,4.0,10.5,10.7333,4.7333,4.6,4.7333,4.6
coil2000.csv,14.5,17893.0,9822.0,86.0,0.5882,0.5861,0.6006,0.5965,8300033.1462,10800033.5285,34.7667,15.4333,3.8667,3.9667,11.1667,13.2333,8.1,7.6667,8.1,7.6667
jm1.csv,14.5,17893.0,10885.0,22.0,0.6136,0.6123,0.6145,0.6135,8900027.6602,10133361.5964,10.9667,5.2333,3.8333,3.9,11.0,13.1,4.9333,4.2667,4.9333,4.2667
kdd.csv,14.5,17893.0,10108.0,576.0,0.3132,0.3122,0.3219,0.3227,5966697.8091,6666697.7801,210.6,82.9333,4.0,4.0,12.8,12.6667,9.2667,8.9333,9.2667,8.9333
kr.csv,14.5,17893.0,3196.0,75.0,0.1807,0.1806,0.1868,0.1867,5766699.9515,5800033.5274,33.5333,11.0,4.0,4.0,7.9,7.7333,6.8,6.4667,6.8,6.4667
mushroom.csv,14.5,17893.0,8124.0,126.0,0.0044,0.0036,0.0047,0.0039,3733369.3751,4066702.7103,51.1,18.8333,4.0,4.0,9.7333,9.8333,8.2,7.9,8.2,7.9
scene.csv,14.5,17893.0,2407.0,305.0,0.3205,0.3167,0.3338,0.3317,4033365.8566,4800032.9887,100.1667,43.0,4.0,4.0,5.1,5.5333,4.1,4.4667,4.1,4.4667
sick.csv,14.5517,17956.8276,3772.0,53.0,0.1366,0.1343,0.1493,0.1452,3275892.3268,2275895.9148,22.4138,9.2069,3.2414,3.2759,6.931,6.8621,3.6897,3.3793,3.6897,3.3793
spambase.csv,14.5,17893.0,4601.0,58.0,0.3067,0.3064,0.3238,0.3261,5166698.1107,4933364.5833,21.7667,10.5,4.0,4.0,9.5333,9.7,5.8667,5.5667,5.8667,5.5667
sylva.csv,14.5,17893.0,14395.0,109.0,0.0602,0.0596,0.061,0.0627,2366700.9934,3066701.4769,42.7667,15.5333,4.0,4.0,8.6,9.2,4.5667,4.6,4.5667,4.6
