dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
Long.csv,14.5,17893.0,4477.0,20.0,0.1748,0.1758,0.1709,0.1732,6500033.6403,6566700.7128,9.6,3.4,3.9667,3.9,10.6333,10.6333,2.0,2.0,2.0,2.0
MagicTelescope.csv,14.5,17893.0,19020.0,11.0,0.4528,0.453,0.4558,0.4578,8166695.7903,7900029.2241,6.5333,5.5,4.0,4.0,15.3,15.1667,5.3667,5.2,5.3667,5.2
PhishingWebsites.csv,14.5,17893.0,11055.0,69.0,0.1899,0.1886,0.1969,0.1962,6100030.5656,6033363.7832,30.0667,10.0667,4.0,4.0,11.4,11.3333,6.8333,6.7667,6.8333,6.7667
Satellite.csv,14.5,17893.0,5100.0,37.0,0.1536,0.1544,0.1804,0.1936,3666697.0056,2100035.948,10.4333,6.8333,3.7333,3.7,6.9,7.2,4.7667,4.5,4.7667,4.5
SpeedDating.csv,14.5,17893.0,8378.0,501.0,0.5187,0.5163,0.5184,0.5161,10366696.2321,12133363.3467,172.6,58.0333,4.0,4.0,13.7667,15.0667,8.0,7.8,8.0,7.8
Titanic.csv,14.5,17893.0,2201.0,4.0,0.5384,0.5393,0.5512,0.5523,5266694.3433,4800027.45,3.0,2.9,3.9333,3.7667,8.3,7.7,2.9667,2.9,2.9667,2.9
churn.csv,14.5,17893.0,5000.0,34.0,0.3862,0.3858,0.3861,0.3927,7466696.922,5633363.6159,17.2333,11.2667,4.0,4.0,12.1333,12.2333,8.6667,8.4,8.6667,8.4
clean2.csv,14.5,17893.0,6598.0,169.0,0.0002,0.0002,0.0,0.0,2000036.0437,2033369.377,151.7,46.5667,1.0,1.0667,2.0,2.0667,1.0,1.0667,1.0,1.0667
compas.csv,14.5,17893.0,5278.0,20.0,0.6162,0.6159,0.6185,0.618,11666690.9645,11900024.2552,8.1,2.9,4.0,4.0,14.1667,14.3,2.9,2.3,2.9,2.3
dis.csv,14.5,17893.0,3772.0,55.0,0.2856,0.2784,0.3133,0.3155,4633367.103,4500034.9427,20.7667,8.1333,3.4667,3.7,7.6333,8.4667,3.5667,3.8333,3.5667,3.8333
eeg.csv,14.5,17893.0,14980.0,15.0,0.5915,0.5917,0.5937,0.5929,7766692.342,7900025.7927,9.1,8.0,4.0,4.0,13.5333,13.6667,6.8333,6.8,6.8333,6.8
jasmine.csv,14.5,17893.0,2984.0,281.0,0.4348,0.4364,0.4471,0.4526,4666693.3979,4866693.59,97.3,47.8667,3.8333,3.6667,6.3333,6.2,4.4667,4.3,4.4667,4.3
kc1.csv,14.5,17893.0,2109.0,22.0,0.5415,0.5399,0.5526,0.5554,4700028.6643,5766696.3393,6.6333,3.3667,2.9,3.2333,5.5667,6.9,2.8,2.7333,2.8,2.7333
madeline.csv,14.5,17893.0,3140.0,260.0,0.5251,0.5221,0.531,0.5267,10800027.846,11166694.5556,78.6,29.3,4.0,4.0,14.0,14.4,6.8,6.8333,6.8,6.8333
mc1.csv,14.5,17893.0,9466.0,39.0,0.2156,0.2123,0.2393,0.2263,4466699.7009,3666702.1281,12.7333,8.4,4.0,4.0,11.2,10.7333,7.2333,6.5667,7.2333,6.5667
philippine.csv,14.5,17893.0,5832.0,309.0,0.5297,0.5252,0.5346,0.5313,8533359.3262,9533359.2887,99.5667,33.5333,3.9333,3.9333,11.4333,12.4,6.0333,5.7,6.0333,5.7
ringnorm.csv,14.5,17893.0,7400.0,21.0,0.5044,0.5052,0.5229,0.5227,6400030.4662,6433363.7171,5.4333,4.4667,4.0,4.0,9.4333,9.6333,4.4,4.1667,4.4,4.1667
twonorm.csv,14.5,17893.0,7400.0,21.0,0.4781,0.4776,0.4988,0.4987,11566693.712,12066693.8044,5.0,4.6,4.0,4.0,15.9667,15.8333,5.0,4.5667,5.0,4.5667
