dataset,nrows,ncols,run,seed,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_best_model,p_best_model,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs,i_tree_used_fs,p_tree_used_fs,i_selected_fs,p_selected_fs
kr.csv,3196,75,0,0,0.189801,0.189801,0.176469,0.176469,6000033.596991828,6000033.596991828,35.0,6.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=1234)","DecisionTreeClassifier(ccp_alpha=1.1501709105584442e-05,
                       class_weight='balanced', max_depth=4,
                       min_samples_leaf=45, min_samples_split=82,
                       random_state=1234)",4,4,8,8,7,6,7,6,['bkxbq_t' 'bkxbq_f' 'bkxcr_f' 'bxqsq_f' 'r2ar8_f' 'rimmx_f' 'wknck_f'],['bkxbq_f' 'bkxcr_t' 'bxqsq_f' 'r2ar8_t' 'rimmx_t' 'wknck_t'],"['bkblk_t' 'bkblk_f' 'bknwy_t' 'bkon8_t' 'bkspr_t' 'bkxbq_t' 'bkxbq_f'
 'bkxcr_f' 'blxwp_t' 'bxqsq_t' 'bxqsq_f' 'dsopp_t' 'dwipd_g' 'dwipd_l'
 'katri_b' 'katri_n' 'katri_w' 'mulch_t' 'mulch_f' 'r2ar8_t' 'r2ar8_f'
 'reskd_t' 'reskr_t' 'reskr_f' 'rimmx_f' 'rxmsq_f' 'simpl_t' 'simpl_f'
 'skewr_t' 'thrsk_t' 'thrsk_f' 'wkcti_f' 'wknck_f' 'wtoeg_t' 'wtoeg_f']",['bkxbq_f' 'bkxcr_t' 'bxqsq_f' 'r2ar8_t' 'rimmx_t' 'wknck_t']
kr.csv,3196,75,2,2468,0.183439,0.182007,0.196801,0.195672,5000032.043305553,5000033.258155532,33.0,15.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=4,
                       min_samples_leaf=17, min_samples_split=73,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=6.65942340099895e-05, class_weight='balanced',
                       max_depth=4, min_samples_leaf=10, min_samples_split=53,
                       random_state=1234)",4,4,6,6,5,5,5,5,['bxqsq_t' 'r2ar8_f' 'rimmx_f' 'wknck_t' 'wkpos_f'],['bkxbq_f' 'bxqsq_t' 'rimmx_f' 'wknck_f' 'wkovl_t'],"['bkblk_t' 'bkblk_f' 'bkona_t' 'bkona_f' 'bkxbq_t' 'bkxbq_f' 'bkxcr_f'
 'bkxwp_t' 'blxwp_t' 'bxqsq_t' 'cntxt_t' 'cntxt_f' 'dsopp_t' 'dsopp_f'
 'katri_b' 'katri_w' 'qxmsq_t' 'r2ar8_f' 'reskd_t' 'rimmx_f' 'rkxwp_t'
 'rkxwp_f' 'skach_t' 'skewr_t' 'skrxp_f' 'spcop_f' 'stlmt_f' 'thrsk_f'
 'wkcti_t' 'wknck_t' 'wkovl_t' 'wkpos_f' 'wtoeg_f']","['bkblk_t' 'bkblk_f' 'bknwy_t' 'bknwy_f' 'bkona_t' 'bkxbq_f' 'bkxcr_f'
 'bxqsq_t' 'dwipd_g' 'hdchk_f' 'rimmx_f' 'skrxp_f' 'wknck_f' 'wkovl_t'
 'wkovl_f']"
kr.csv,3196,75,6,7404,0.183601,0.183601,0.168137,0.168137,6000033.51995173,7000033.880480538,24.0,9.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=4,
                       min_samples_leaf=15, min_samples_split=85,
                       random_state=1234)","DecisionTreeClassifier(class_weight='balanced', max_depth=4,
                       min_samples_leaf=34, min_samples_split=106,
                       random_state=1234)",4,4,9,9,7,7,7,7,['bkxbq_t' 'bkxcr_f' 'bxqsq_f' 'r2ar8_f' 'rimmx_t' 'wkna8_f' 'wknck_t'],['bkxbq_f' 'bkxcr_t' 'bxqsq_t' 'r2ar8_f' 'rimmx_t' 'wkna8_t' 'wknck_t'],"['bkblk_f' 'bknwy_t' 'bknwy_f' 'bkon8_t' 'bkxbq_t' 'bkxcr_f' 'bkxwp_f'
 'bxqsq_t' 'bxqsq_f' 'dsopp_f' 'mulch_f' 'r2ar8_t' 'r2ar8_f' 'reskd_t'
 'reskd_f' 'rimmx_t' 'rimmx_f' 'rxmsq_t' 'rxmsq_f' 'simpl_f' 'skach_t'
 'stlmt_t' 'wkna8_f' 'wknck_t']","['bkon8_t' 'bkxbq_f' 'bkxcr_t' 'bxqsq_t' 'r2ar8_f' 'rimmx_t' 'wkcti_t'
 'wkna8_t' 'wknck_t']"
kr.csv,3196,75,5,6170,0.171852,0.171736,0.19669,0.19669,6000033.022515316,6000033.022515316,41.0,12.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=4,
                       min_samples_split=57, random_state=1234)","DecisionTreeClassifier(class_weight='balanced', max_depth=4,
                       min_samples_leaf=11, min_samples_split=52,
                       random_state=1234)",4,4,8,9,7,7,7,7,['bknwy_t' 'bkxcr_t' 'bxqsq_f' 'rimmx_f' 'wknck_f' 'wkovl_t' 'wkpos_t'],['bknwy_t' 'bkxcr_f' 'bxqsq_f' 'rimmx_t' 'wknck_t' 'wkovl_t' 'wkpos_t'],"['bkblk_t' 'bkblk_f' 'bknwy_t' 'bknwy_f' 'bkon8_f' 'bkxbq_f' 'bkxcr_t'
 'bkxcr_f' 'bkxwp_t' 'bkxwp_f' 'blxwp_t' 'blxwp_f' 'bxqsq_t' 'bxqsq_f'
 'cntxt_t' 'cntxt_f' 'dsopp_t' 'dwipd_g' 'dwipd_l' 'katri_b' 'katri_n'
 'mulch_f' 'reskd_t' 'rimmx_f' 'rkxwp_t' 'rkxwp_f' 'rxmsq_f' 'skach_t'
 'skrxp_t' 'spcop_f' 'stlmt_t' 'thrsk_t' 'thrsk_f' 'wkcti_t' 'wknck_t'
 'wknck_f' 'wkovl_t' 'wkpos_t' 'wtoeg_n' 'wtoeg_t' 'wtoeg_f']","['bkblk_f' 'bknwy_t' 'bkxcr_f' 'bxqsq_f' 'qxmsq_f' 'rimmx_t' 'rimmx_f'
 'rxmsq_t' 'wknck_t' 'wkovl_t' 'wkpos_t' 'wkpos_f']"
kr.csv,3196,75,4,4936,0.171482,0.171482,0.187464,0.187464,6000033.873525091,5000035.241682101,41.0,7.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=4, min_samples_leaf=5,
                       min_samples_split=81, random_state=1234)","DecisionTreeClassifier(ccp_alpha=1.5443985372431756e-05,
                       class_weight='balanced', max_depth=4, min_samples_leaf=7,
                       min_samples_split=61, random_state=1234)",4,4,8,8,7,7,7,7,['bknwy_t' 'bkxcr_f' 'bxqsq_f' 'rimmx_f' 'wkna8_t' 'wknck_t' 'wkovl_t'],['bknwy_t' 'bkxcr_f' 'bxqsq_f' 'rimmx_t' 'wkna8_t' 'wknck_t' 'wkovl_f'],"['bkblk_f' 'bknwy_t' 'bknwy_f' 'bkon8_t' 'bkona_t' 'bkona_f' 'bkspr_t'
 'bkspr_f' 'bkxbq_t' 'bkxcr_f' 'bkxwp_t' 'blxwp_t' 'bxqsq_f' 'dsopp_f'
 'dwipd_g' 'dwipd_l' 'katri_b' 'mulch_t' 'reskr_t' 'reskr_f' 'rimmx_f'
 'rkxwp_f' 'rxmsq_t' 'rxmsq_f' 'simpl_f' 'skach_f' 'skewr_t' 'skewr_f'
 'skrxp_t' 'spcop_t' 'spcop_f' 'stlmt_f' 'thrsk_t' 'thrsk_f' 'wkna8_t'
 'wkna8_f' 'wknck_t' 'wkovl_t' 'wkpos_t' 'wtoeg_t' 'wtoeg_f']",['bknwy_t' 'bkxcr_f' 'bxqsq_f' 'rimmx_t' 'wkna8_t' 'wknck_t' 'wkovl_f']
kr.csv,3196,75,3,3702,0.182021,0.182021,0.182375,0.182375,6000033.412913343,6000033.412913343,37.0,9.0,"DecisionTreeClassifier(ccp_alpha=4.2494219967135256e-05,
                       class_weight='balanced', max_depth=4,
                       min_samples_split=24, random_state=1234)","DecisionTreeClassifier(ccp_alpha=1.4159298632002613e-06,
                       class_weight='balanced', max_depth=4,
                       min_samples_leaf=11, min_samples_split=77,
                       random_state=1234)",4,4,8,8,7,7,7,7,['bkxbq_f' 'bkxcr_f' 'bxqsq_f' 'r2ar8_t' 'rimmx_t' 'wknck_f' 'wkovl_f'],['bkxbq_f' 'bkxcr_t' 'bxqsq_f' 'r2ar8_f' 'rimmx_t' 'wknck_f' 'wkovl_t'],"['bkblk_t' 'bknwy_t' 'bknwy_f' 'bkon8_f' 'bkona_f' 'bkspr_f' 'bkxbq_t'
 'bkxbq_f' 'bkxcr_f' 'bkxwp_t' 'bkxwp_f' 'blxwp_f' 'bxqsq_t' 'bxqsq_f'
 'cntxt_f' 'dsopp_t' 'dsopp_f' 'dwipd_g' 'hdchk_t' 'mulch_f' 'qxmsq_t'
 'qxmsq_f' 'r2ar8_t' 'rimmx_t' 'rimmx_f' 'rkxwp_f' 'skach_t' 'skrxp_t'
 'skrxp_f' 'stlmt_t' 'stlmt_f' 'thrsk_t' 'thrsk_f' 'wknck_f' 'wkovl_f'
 'wtoeg_n' 'wtoeg_f']","['bknwy_t' 'bkxbq_f' 'bkxcr_t' 'bxqsq_f' 'qxmsq_t' 'r2ar8_f' 'rimmx_t'
 'wknck_f' 'wkovl_t']"
kr.csv,3196,75,1,1234,0.182631,0.182631,0.169425,0.169425,6000033.678875575,6000033.678875575,41.0,10.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=4,
                       min_samples_leaf=17, min_samples_split=9,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=6.606648368968317e-07, class_weight='balanced',
                       max_depth=4, min_samples_leaf=11, min_samples_split=86,
                       random_state=1234)",4,4,9,8,8,7,8,7,"['bkxbq_t' 'bkxcr_t' 'bxqsq_t' 'dsopp_t' 'r2ar8_f' 'rimmx_t' 'wkna8_t'
 'wknck_f']",['bkxbq_t' 'bkxcr_t' 'bxqsq_t' 'r2ar8_t' 'rimmx_f' 'wkna8_t' 'wknck_f'],"['bkblk_t' 'bkblk_f' 'bknwy_t' 'bkon8_t' 'bkspr_t' 'bkxbq_t' 'bkxbq_f'
 'bkxcr_t' 'bkxwp_t' 'bxqsq_t' 'cntxt_t' 'dsopp_t' 'dsopp_f' 'hdchk_t'
 'katri_b' 'mulch_t' 'mulch_f' 'qxmsq_t' 'r2ar8_t' 'r2ar8_f' 'reskr_f'
 'rimmx_t' 'rxmsq_t' 'simpl_t' 'skach_t' 'skach_f' 'skewr_t' 'skrxp_f'
 'spcop_t' 'spcop_f' 'stlmt_t' 'stlmt_f' 'thrsk_f' 'wkcti_f' 'wkna8_t'
 'wknck_t' 'wknck_f' 'wkpos_f' 'wtoeg_n' 'wtoeg_t' 'wtoeg_f']","['bknwy_t' 'bkxbq_t' 'bkxcr_t' 'bxqsq_t' 'r2ar8_t' 'rimmx_f' 'skach_t'
 'wkna8_t' 'wknck_f' 'wtoeg_f']"
sick.csv,3772,53,4,4936,0.129316,0.131039,0.138945,0.143426,4000027.743215902,2000033.6983471755,24.0,8.0,"DecisionTreeClassifier(ccp_alpha=1.3036532477081962e-06,
                       class_weight='balanced', max_depth=4,
                       min_samples_leaf=26, random_state=1234)","DecisionTreeClassifier(ccp_alpha=3.755920998224875e-05, class_weight='balanced',
                       max_depth=3, min_samples_leaf=26, min_samples_split=12,
                       random_state=1234)",4,3,9,7,5,3,5,3,['on_thyroxine_f' 'TSH' 'T3' 'FTI' 'referral_source_other'],['T3' 'FTI' 'referral_source_other'],"['age' 'sex_F' 'on_thyroxine_f' 'on_antithyroid_medication_f'
 'on_antithyroid_medication_t' 'sick_t' 'thyroid_surgery_t'
 'query_hyperthyroid_f' 'query_hyperthyroid_t' 'lithium_t' 'goitre_f'
 'tumor_f' 'tumor_t' 'hypopituitary_t' 'psych_t' 'TSH' 'T3'
 'TT4_measured_t' 'T4U_measured_t' 'T4U' 'FTI_measured_t' 'FTI'
 'referral_source_other' 'referral_source_SVHD']","['age' 'query_hyperthyroid_t' 'TSH_measured_f' 'T3' 'FTI'
 'referral_source_other' 'referral_source_SVI' 'referral_source_SVHD']"
sick.csv,3772,53,2,2468,0.137773,0.135046,0.131815,0.133607,3000032.171361875,2000033.078036338,24.0,8.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=3,
                       min_samples_leaf=27, min_samples_split=114,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=1.4364544765080322e-05,
                       class_weight='balanced', max_depth=3,
                       min_samples_leaf=29, min_samples_split=96,
                       random_state=1234)",3,3,7,7,4,3,4,3,['T3' 'TT4' 'FTI' 'referral_source_other'],['T3' 'TT4' 'FTI'],"['age' 'sex_F' 'sex_M' 'on_thyroxine_f' 'on_thyroxine_t'
 'query_on_thyroxine_f' 'on_antithyroid_medication_f' 'pregnant_f'
 'pregnant_t' 'I131_treatment_f' 'query_hyperthyroid_f'
 'query_hyperthyroid_t' 'lithium_f' 'goitre_t' 'hypopituitary_t' 'psych_f'
 'T3' 'TT4' 'T4U_measured_t' 'FTI_measured_f' 'FTI'
 'referral_source_other' 'referral_source_SVI' 'referral_source_SVHD']","['sex_F' 'on_antithyroid_medication_f' 'T3' 'TT4_measured_t' 'TT4' 'FTI'
 'referral_source_SVHC' 'referral_source_SVI']"
sick.csv,3772,53,3,3702,0.125653,0.12384,0.15483,0.159737,3000029.333065174,2000033.570069333,21.0,8.0,"DecisionTreeClassifier(class_weight='balanced', max_depth=3,
                       min_samples_leaf=32, min_samples_split=40,
                       random_state=1234)","DecisionTreeClassifier(class_weight='balanced', max_depth=3,
                       min_samples_leaf=32, min_samples_split=76,
                       random_state=1234)",3,3,6,6,4,3,4,3,['T3' 'TT4' 'FTI' 'referral_source_other'],['T3' 'TT4' 'FTI'],"['on_thyroxine_f' 'query_on_thyroxine_t' 'on_antithyroid_medication_t'
 'I131_treatment_f' 'query_hypothyroid_t' 'query_hyperthyroid_f'
 'lithium_f' 'lithium_t' 'goitre_f' 'goitre_t' 'tumor_t' 'hypopituitary_t'
 'psych_f' 'TSH' 'T3' 'TT4' 'T4U_measured_t' 'FTI' 'referral_source_other'
 'referral_source_SVI' 'referral_source_STMW']","['age' 'query_hypothyroid_f' 'psych_f' 'TSH' 'T3' 'TT4' 'FTI'
 'referral_source_SVI']"
